tags,context,found_helpful_data-review_yes_count,found_helpful_data-review_total_count,recommendation,review,reviewed_on,is_online_consult,recommends,patient_name,reply_text,replied_at,replier_name
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Value for money,Wait time,","Dental Implants,Full Mouth Rehabilitation,",0,0,YES,I recently underwent  full mouth dental implants with Dr Urvi Ashar . Being a diabetic patient with a history of bypass surgery i was properly guided and informed about the procedure.I am finally happy to have all my teeth back so that I can enjoy my food now. The whole procedure was painfree and safely done. I would definitely recommend anyone to visit her for dental implants.,2024-07-18 09:25:07,False,True,Anil Ghag ,,,
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Value for money,Wait time,","Premolar Root Canal,",0,0,YES,excellent and very kind and cordial and total care of patient making the patient completely at ease ,2024-07-17 13:02:55,False,True,Indra,,,
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Value for money,Wait time,","Dental Fillings,",0,0,YES,Dr. Menaz is superb in her profession. The way she had planning my treatment is excellent. I am fully satisfied with my dental related treatment ,2024-06-24 12:42:51,False,True,Russel Fernandes,,,
"Explanation of the health issue,Doctor friendliness,Treatment satisfaction,Value for money,Wait time,","RCT - Root Canal Treatment,",0,0,YES,The treatment was done with utmost professionalism and precision with really good equipments. Highly recommended!,2024-02-24 09:09:33,False,True,kashmira broker,,,
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Value for money,Wait time,","Dental Fillings,",0,0,YES,**** ************** ******* *** ********* Discussed every issue related to the problem. Clean environment and pleasant staff too!,2024-02-07 14:13:17,False,True,Smita Rajeev,,,
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Value for money,Wait time,","Dental Cavities,",0,0,YES,"Dr. Menaz ** **** ******* *** handles the issue at hand with utmost professionalism. 
She has a keen eye and takes care of every detail needed to make sure your dental experience sitting in that chair is smooth from start to finish. 
Highly recommended! ",2023-03-24 13:46:54,False,True,Ruchi Mehta ,,,
"Doctor friendliness,Value for money,Treatment satisfaction,Explanation of the health issue,","Artificial Teeth,",0,0,YES,"Dr Menaz is very caring, and friendly and helpful.She patiently explained about the treatment and took great efforts to make me comfortable.  I am very satisfied  and will definitely  recommend her to others. She understands  the patients needs and accordingly treats.",2023-02-15 11:59:18,False,True,Divya Mujumdar,,,
"Doctor friendliness,Treatment satisfaction,Explanation of the health issue,Value for money,","Dental Fillings,Root Canal Treatment (RCT),",0,0,YES,Best Experience for tooth treatment.  Thanks to Dr. Menaz and entire clinic team.  They feel me comfortable will treatment is going on.,2024-01-06 07:28:49,False,True,Vijay Phatak,,,
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Value for money,Wait time,","Aesthetic Dentistry,",0,0,YES,"*** ** *** **** ******* .she writes every details what to do ever hour what to eat.  In details which no doctors has ever did.she called to find out if I was ok and kept on ringingto find out how I was doing.she is not a doctor but perfectinst.does her work likean artist
I would recommend herewith all my friends 

",2022-10-27 16:01:07,False,True,Jumana,,,
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Value for money,Wait time,","Dental Implants,Full Mouth Rehabilitation,",0,0,YES,I recently underwent  full mouth dental implants with Dr Urvi Ashar . Being a diabetic patient with a history of bypass surgery i was properly guided and informed about the procedure.I am finally happy to have all my teeth back so that I can enjoy my food now. The whole procedure was painfree and safely done. I would definitely recommend anyone to visit her for dental implants.,2024-07-18 09:25:07,False,True,Anil Ghag ,,,
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Value for money,Wait time,","Premolar Root Canal,",0,0,YES,excellent and very kind and cordial and total care of patient making the patient completely at ease ,2024-07-17 13:02:55,False,True,Indra,,,
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Value for money,Wait time,","Dental Fillings,",0,0,YES,Dr. Menaz is superb in her profession. The way she had planning my treatment is excellent. I am fully satisfied with my dental related treatment ,2024-06-24 12:42:51,False,True,Russel Fernandes,,,
"Explanation of the health issue,Doctor friendliness,Treatment satisfaction,Value for money,Wait time,","RCT - Root Canal Treatment,",0,0,YES,The treatment was done with utmost professionalism and precision with really good equipments. Highly recommended!,2024-02-24 09:09:33,False,True,kashmira broker,,,
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Value for money,Wait time,","Dental Fillings,",0,0,YES,**** ************** ******* *** ********* Discussed every issue related to the problem. Clean environment and pleasant staff too!,2024-02-07 14:13:17,False,True,Smita Rajeev,,,
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Value for money,Wait time,","Dental Cavities,",0,0,YES,"Dr. Menaz ** **** ******* *** handles the issue at hand with utmost professionalism. 
She has a keen eye and takes care of every detail needed to make sure your dental experience sitting in that chair is smooth from start to finish. 
Highly recommended! ",2023-03-24 13:46:54,False,True,Ruchi Mehta ,,,
"Doctor friendliness,Value for money,Treatment satisfaction,Explanation of the health issue,","Artificial Teeth,",0,0,YES,"Dr Menaz is very caring, and friendly and helpful.She patiently explained about the treatment and took great efforts to make me comfortable.  I am very satisfied  and will definitely  recommend her to others. She understands  the patients needs and accordingly treats.",2023-02-15 11:59:18,False,True,Divya Mujumdar,,,
"Doctor friendliness,Treatment satisfaction,Explanation of the health issue,Value for money,","Dental Fillings,Root Canal Treatment (RCT),",0,0,YES,Best Experience for tooth treatment.  Thanks to Dr. Menaz and entire clinic team.  They feel me comfortable will treatment is going on.,2024-01-06 07:28:49,False,True,Vijay Phatak,,,
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Value for money,Wait time,","Aesthetic Dentistry,",0,0,YES,"*** ** *** **** ******* .she writes every details what to do ever hour what to eat.  In details which no doctors has ever did.she called to find out if I was ok and kept on ringingto find out how I was doing.she is not a doctor but perfectinst.does her work likean artist
I would recommend herewith all my friends 

",2022-10-27 16:01:07,False,True,Jumana,,,
